各省卫视,#genre#
黑龙江卫视,http://cctvalih5ca.v.myalicdn.com/wstv/heilongjiang_2/index.m3u8
兵团卫视,http://by4.nty.tv189.cn/live/tm-bingtuantv-800k.m3u8
河北卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/hebei_2/index.m3u8
海南卫视,http://by4.nty.tv189.cn/live/tm-traveltv-800k.m3u8
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
陕西卫视高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
东南卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/dongnan_2/index.m3u8
国际频道,#genre#
阿拉伯l 中国环球 (阿拉伯),http://live.cgtn.com/1000a/prog_index.m3u8
阿联酋lATV 1,http://85.132.81.184:8080/atv/index.m3u8
阿联酋lATV 2,http://85.132.81.184:8080/atv-2/index.m3u8
阿联酋lATV 4,http://85.132.81.184:8080/atv-4/index.m3u8
阿联酋l阿布石油,http://adtv.ercdn.net/adalemarat/adalemarat_720p.m3u8
阿联酋l阿布体育1,http://adtv.ercdn.net/adsport1/adsport1_720p.m3u8
阿联酋l阿布体育2,http://adtv.ercdn.net/adsport2/adsport2_720p.m3u8
阿联酋l阿布戏剧,http://adtv.ercdn.net/addrama/addrama_720p.m3u8
阿联酋l迪拜萨马,http://dmieigthvll.cdn.mangomolo.com/samadubai/smil:samadubai.stream.smil/chunklist_b1600000.m3u8
阿联酋l迪拜赛马,http://dmisvthvll.cdn.mangomolo.com/events/smil:events.smil/chunklist_b1600000.m3u8
阿联酋l星空电影,http://livecdnh1.tvanywhere.ae/hls/star_movies/04.m3u8
埃及l AVA 音乐频道,http://51.15.236.137/hls/stream.m3u8
半岛电视台,http://aljazeera-eng-apple-live.adaptive.level3.net/apple/aljazeera/english/appleman.m3u8
德国l 超级游艇,http://cdn.mobibase.com/hls/733/258_5000k/playlist.m3u8
俄罗斯l FM 音乐频道,http://rtmp.one.by:1200
俄罗斯l HD 时尚频道,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
俄罗斯l HP 音乐频道,http://hls-video01.cdnvideo.ru/video01/smil:video01.smil/chunklist_b4128000.m3u8
俄罗斯l OR 音乐频道,http://rtmp.one.by:2200/
俄罗斯l RU 音乐频道,http://rutv.gcdn.co/streams/1410_1272/720n/index.m3u8
俄罗斯l 俄罗斯一台,http://a787201928-s26881.cdn.ngenix.net/hls/russia_hd/playlist_3.m3u8
俄罗斯l 军事频道,http://serv25.vintera.tv:8081/parad/patriot/playlist.m3u8
俄罗斯l 中国环球 (俄罗斯),http://live.cgtn.com/1000r/prog_index.m3u8
俄罗斯MTVmix Ufa,http://81.30.182.82:18092/hls/live.m3u8
俄罗斯Nastoyashcheye Vremya,http://rfe-lh.akamaihd.net/i/rfe_tvmc5@383630/master.m3u8
俄罗斯Shanson TV (Opt-1),http://hls.shansontv.cdnvideo.ru/shansontv/smil:shansontv.smil/playlist.m3u8
俄罗斯Tjumenskoe Vremja,http://streams.sibinformburo.cdnvideo.ru/sibinformburo/sibinformburo.sdp/playlist.m3u8
俄罗斯TopShop,http://tv-topshop.netrack.ru/hls/topshop.m3u8
法France24,http://static.france24.com/live/F24_EN_LO_HLS/live_web.m3u8
法国Francophonie 24,http://mv2.tvfrancophonie.org/live/Stream1/media_b776739_w671289549.m3u8
法国l 巴黎调频,http://d2ktlibtvvj8vp.cloudfront.net/trace_kitoko/6/prog_index.m3u8
法国l 法国24台 (英语),http://f24hls-i.akamaihd.net/hls/live/221193-b/F24_EN_LO_HLS/master_900.m3u8
法国l 热带音乐,http://d2ktlibtvvj8vp.cloudfront.net/trace_tropical/6/prog_index.m3u8
法国l 中国环球 (法国),http://live.cgtn.com/1000f/prog_index.m3u8
芬兰YLE TV 1,http://yletvhdliveworld-lh.akamaihd.net/i/yletv1hdworld_1@187592/index_2764_av-p.m3u8
芬兰YLE TV 2,http://yletvhdliveworld-lh.akamaihd.net/i/yletv2hdworld_1@187593/index_2764_av-p.m3u8
韩国lEBS 儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国lKTV 韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国lSBS 星级频道,https://streaming-a-802.cdn.nextologies.com/SBS_18/playlist.m3u8
韩国lSBS 影视频道,https://streaming-a-802.cdn.nextologies.com/SBS_Plus/live/SBS_Plus_1500k/chunks.m3u8
韩国lUBC SBS,http://59.25.202.81:1935/live/UBCstream/chunklist_w1495115977.m3u8
韩国lYTN 联合新闻,http://ytnmmd.mmdlive.lldns.net/ytnmmd/9484b70302db4786886ae40308bf45a1/chunklist_b2592000.m3u8
韩国WFCHD，,http://wfc.bonus-tv.ru:80/cdn/wfcint/tracks-v1a1/index.m3u8
荷兰Omroep West,http://d2dslh4sd7yvc1.cloudfront.net/live/omroepwest/ngrp:tv-feed_all/playlist.m3u8
加拿大The Shopping Channel,http://tscstreaming-lh.akamaihd.net/i/TSCLiveStreaming_1@91031/master.m3u8
加纳TV Africa (Ghana),http://africatv.live.net.sa:1935/live/africatv/playlist.m3u8
卡塔尔l卡斯体育,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass3
拉丁美洲TV Marti,http://ocb-lh.akamaihd.net/i/ocb_mpls_tvmc1@383606/master.m3u8
罗马尼亚Iasi TV Life,http://webmobile.xdev.ro:81/tv24/playlist.m3u8?time=1464028219168
罗马尼亚TV Kit,http://webmobile.xdev.ro:81/tv9/playlist.m3u8
美国 | 狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
美国abc News,https://abclive2-lh.akamaihd.net/i/abc_live11@423404/master.m3u8
美国CGTN (Opt-1),http://live.cgtn.com/500/prog_index.m3u8
美国Free IPTV,http://stream.srg-ssr.ch/m/rsj/mp3_128
美国House of Representatives,http://d3ktuc8v2sjk6m.cloudfront.net/livetv/ngrp:HouseChannel_all/chucklist.m3u8
美国l FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
美国l MTV 音乐频道,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
美国l 布兰奇电视,http://livestream.usatv.com/hls/m3u8/ARTN-NET.m3u8
美国l 美国之音,https://voa-lh.akamaihd.net/i/voa_mpls_tvmc6@320298/index_0540_av-p.m3u8
美国l 美国中央台,http://livestream.usatv.com/hls/m3u8/USARMENIA720.m3u8
美国l 汽车频道,http://dcunilive28-lh.akamaihd.net/i/dclive_1@624563/master.m3u8
美国l 中国环球 (美国),http://live.cgtn.com/1000/prog_index.m3u8
美国TVW,http://d3ktuc8v2sjk6m.cloudfront.net/livetv/ngrp:TVWAIR_all/chucklist.m3u8
美国本土NBC 11 News (Bay Area).,http://kntvlive-f.akamaihd.net/i/kntvb2_1@15530/index_1286_av-p.m3u8
美国中文台,http://media3.sinovision.net:1935/live/livestream/playlist.m3u8
蒙古国lMNB,http://103.14.38.107:1935/live/mnb.stream/master.m3u8
摩洛哥Al Maghribia,http://cdn-hls.globecast.tv/live/ramdisk/al_maghribia_snrt/hls_snrt/index.m3u8
摩洛哥Arryadia,http://cdn-hls.globecast.tv/live/ramdisk/arriadia/hls_snrt/index.m3u8
墨西哥l 墨西哥电视,http://bcoveliveios-i.akamaihd.net/hls/live/201661/57828478001/milenio_center_512k@51752.m3u8
日本ntvknews,http://www.news24.jp/livestream/index.m3u8
日本历史,http://192.240.127.34:1935/live/cs14.stream/media_1254.m3u8
日本频道1,http://192.240.127.34:1935/live/cs11.stream/playlist.m3u8
日本频道2,http://192.240.127.34:1935/live/cs14.stream/playlist.m3u8
日本频道5,http://192.240.127.34:1935/live/cs27.stream/playlist.m3u8
日本映畫,http://192.240.127.34:1935/live/cs19.stream/playlist.m3u8
日-日本映畫,http://192.240.127.34:1935/live/cs19.stream/media_1254.m3u8
世界l 联合国台,https://bcliveunivsecure-lh.akamaihd.net/i/un150_A1_1@575439/index_1328_av-b.m3u8
斯洛伐克l WAU 频道,http://nn2.joj.sk/hls/wau-540.m3u8
斯洛伐克TV 8,http://109.74.145.11:1935/tv8/mp4:tv8.stream_360p/chunklist_w974670813.m3u8
斯诺伐克l J O J 频道,http://nn2.joj.sk/hls/joj-540.m3u8
泰国lNBT 曼谷频道,http://live.prd.go.th:1935/live/ch1_L.sdp/chunklist.m3u8
泰国l泰国公共台,http://thaipbs-live.cdn.byteark.com/live-en/playlist_720p/index.m3u8
乌克兰VOTV,http://hls.cdn.ua/vo.org.ua_live/_definst_/online-ru-hotbird-high/chunklist.m3u8
西班牙l 啵嘤卡通台,https://mdslivehlsb-i.akamaihd.net/hls/live/623616/boing/bitrate_3.m3u8
西班牙l 皇马足球,http://rmtv24hweblive-lh.akamaihd.net/i/rmtv24hwebes_1@300661/index_3_av-p.m3u8
西班牙l 活力电视台,https://mdslivehlsb-i.akamaihd.net/hls/live/623617/energy/bitrate_3.m3u8
西班牙l 神性电视台,https://mdslivehls-i.akamaihd.net/hls/live/571648/divinity/bitrate_4.m3u8
西班牙l 西班牙四台,https://livehlsdai-i.akamaihd.net/hls/live/571643/cuatro/bitrate_4.m3u8
西班牙l 西班牙五台,https://livehlsdai-i.akamaihd.net/hls/live/571640/telecinco/bitrate_4.m3u8
西班牙Lancelot TV,http://62.210.141.18:1935/directo/lancelot.television/live.m3u8
新西兰Three,http://mediaworks-i.akamaihd.net/hls/live/220435/3812193411001/3news_live/master.m3u8
伊拉克 Al Sharqiya,http://ns8.indexforce.com:1935/home/mystream/playlist.m3u8
意大利l Rai 电影,http://b2everyrai-lh.akamaihd.net/i/raimovie_1@67348/master.m3u8
意大利l Rai 吞咽,http://b2everyrai-lh.akamaihd.net/i/raigulp_1@66350/master.m3u8
意大利l Rai 溢价,http://b2everyrai-lh.akamaihd.net/i/raipremium_1@181837/index_1800_av-p.m3u8
意大利l Rai 幼幼,http://b2everyrai-lh.akamaihd.net/i/raiyoyo_1@191405/master.m3u8
意大利l 意大利电台,http://radioitaliatv-lh.akamaihd.net/i/radioitaliatv_1@329645/index_720x480_av-p.m3u8
意大利La 7,http://la7-vh.akamaihd.net/i/content/entry/data/0/299/0_b7o9lvba_0_kyyr8vxz_1.mp4/master.m3u8
意大利m20 TV,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-p.m3u8
意大利Rai Premium,http://b2everyrai-lh.akamaihd.net/i/raipremium_1@181837/master.m3u8
印度DD News,http://nicls1-lh.akamaihd.net/i/ddnews_1@409133/master.m3u8
央视频道,#genre#
CCTV1高清,http://tv.ncist.edu.cn:280/cctv1hd/playlist.m3u8
CCTV2高清,http://tv.ncist.edu.cn:280/cctv2hd/playlist.m3u8
CCTV3高清,http://tv.ncist.edu.cn:280/cctv3hd/playlist.m3u8
CCTV4高清,http://tv.ncist.edu.cn:280/cctv4hd/playlist.m3u8
CCTV5高清,http://tv.ncist.edu.cn:280/cctv5hd/playlist.m3u8
CCTV5+高清,http://tv.ncist.edu.cn:280/cctv5HD/playlist.m3u8
CCTV6高清,http://tv.ncist.edu.cn:280/cctv6hd/playlist.m3u8
CCTV7高清,http://tv.ncist.edu.cn:280/cctv7hd/playlist.m3u8
CCTV8高清,http://tv.ncist.edu.cn:280/cctv8hdd/playlist.m3u8
CCTV9高清,http://tv.ncist.edu.cn:280/cctv9hd/playlist.m3u8
CCTV10高清,http://tv.ncist.edu.cn:280/cctv10hd/playlist.m3u8
CCTV12高清,http://tv.ncist.edu.cn:280/cctv12hd/playlist.m3u8
冬奥纪实高清,http://tv.ncist.edu.cn:280/bjjshd/playlist.m3u8
北京卫视高清,http://tv.ncist.edu.cn:280/bjwshd/playlist.m3u8
天津卫视高清,http://tv.ncist.edu.cn:280/tjwshd/playlist.m3u8
湖北卫视高清,http://tv.ncist.edu.cn:280/hubeiwshd/playlist.m3u8
CCTV1高清,http://tv.ncist.edu.cn:281/live/cctv1hd.flv
CCTV2高清,http://tv.ncist.edu.cn:281/live/cctv2hd.flv
CCTV3高清,http://tv.ncist.edu.cn:281/live/cctv3hd.flv
CCTV4高清,http://tv.ncist.edu.cn:281/live/cctv4hd.flv
CCTV5高清,http://tv.ncist.edu.cn:281/live/cctv5hd.flv
CCTV5+高清,http://tv.ncist.edu.cn:281/live/cctv5HD.flv
CCTV6高清,http://tv.ncist.edu.cn:281/live/cctv6hd.flv
CCTV7高清,http://tv.ncist.edu.cn:281/live/cctv7hd.flv
CCTV8高清,http://tv.ncist.edu.cn:281/live/cctv8hdd.flv
CCTV9高清,http://tv.ncist.edu.cn:281/live/cctv9hd.flv
CCTV10高清,http://tv.ncist.edu.cn:281/live/cctv10hd.flv
CCTV12高清,http://tv.ncist.edu.cn:281/live/cctv12hd.flv
冬奥纪实高清,http://tv.ncist.edu.cn:281/live/bjjshd.flv
北京卫视高清,http://tv.ncist.edu.cn:281/live/bjwshd.flv
天津卫视高清,http://tv.ncist.edu.cn:281/live/tjwshd.flv
湖北卫视高清,http://tv.ncist.edu.cn:281/live/hubeiwshd.flv
港澳台,#genre#
香港hks,http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xianggangweishi_2_hd.m3u8
翡翠台,http://bbdd.228888888.xyz:8081/hls/ch101.m3u8
凤凰香港台,http://223.82.250.72/live/fhhongkong/1.m3u8
凤凰资讯,http://125.210.152.18:9090/live/FHZX_1200.m3u8
凤凰中文,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
TVB星河,http://tvbilive14-i.akamaihd.net/hls/live/496347/CXHMovie/CXHMovie-01.m3u8
耀才財經,http://hk.tv0668.com/dl/hk520.php?id=19
澳门莲花,http://live-rtmp.macaulotustv.com/lotustv/5562e9e4d409d24c9600075c.m3u8
厦门卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xiamen3_2/index.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
有线新闻台,https://ottproxy2.mott.tv/livehls:cmi/MOB-SCC/index.m3u8
环球电视,http://otv-cdn.xzxwhcb.com/hls/sn88wrar.m3u8
中天新闻,http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
中视HD,http://104.250.154.42:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
星空卫视,rtmp://58.200.131.2:1935/livetv/startv#rtmp://ivi.bupt.edu.cn:1935/livetv/startv
阳光卫视,https://stream.chinasuntv.com/680k/mid_video_index.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226121/1.m3u8#http://121.31.30.90:8085/ysten-business/live/yangguangstv/1.m3u8
东森洋片,http://192.154.103.75:8080/ZZ_dongsenyangpian/ZZ_dongsenyangpian.m3u8
八大综合,http://192.154.103.75:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
中天综合,http://104.250.154.42:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
澳门互动新闻台,http://202.175.127.77/live/show/ch2/index.m3u8
新U频道,https://d3inlz9elsutjl.cloudfront.net:443/hls/chuctv/master02.m3u8
日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
日本天気预报,http://movie.mcas.jp/mcas/wn1_2/master.m3u8
俄罗斯RU音乐,http://rutv.gcdn.co/streams/1410_1272/720n/index.m3u8
韩国MBC,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
人間衛視,http://54.64.23.79:1935/live/vod/playlist.m3u8
靖天映畫,http://61.58.60.230:9319/live/244.m3u8
靖洋卡通台,http://61.58.60.230:9319/live/206.m3u8
靖天卡通台,http://61.58.60.230:9319/live/206.m3u8#http://61.58.60.230:9319/live/207.m3u8
靖天國際台,http://61.58.60.230:9319/live/205.m3u8
靖天育樂台,http://61.58.60.230:9319/live/204.m3u8
靖天資訊台,http://61.58.60.230:9319/live/202.m3u8
大愛一臺HD,http://tv1.wanfudaluye.com/live/live.m3u8
大愛二臺HD,http://tv2.wanfudaluye.com/live/live.m3u8
靖天戲劇台,http://61.58.60.230:9319/live/203.m3u8
靖天日本台,http://61.58.60.230:9319/live/243.m3u8
网课测试,#genre#
企鹅辅导一年级,http://live-edu.wasu.tv/live/QiEFuDao-lv1.m3u8
企鹅辅导二年级,http://live-edu.wasu.tv/live/QiEFuDao-lv2.m3u8
企鹅辅导三年级,http://live-edu.wasu.tv/live/QiEFuDao-lv3.m3u8
企鹅辅导四年级,http://live-edu.wasu.tv/live/QiEFuDao-lv4.m3u8
企鹅辅导五年级,http://live-edu.wasu.tv/live/QiEFuDao-lv5.m3u8
企鹅辅导六年级,http://live-edu.wasu.tv/live/QiEFuDao-lv6.m3u8
企鹅辅导初一,http://live-edu.wasu.tv/live/QiEFuDao-lv7.m3u8
企鹅辅导初二,http://live-edu.wasu.tv/live/QiEFuDao-lv8.m3u8
企鹅辅导初三,http://live-edu.wasu.tv/live/QiEFuDao-lv9.m3u8
企鹅辅导高一,https://live-edu.wasu.tv/live/QiEFuDao-lv10.m3u8
企鹅辅导高二,https://live-edu.wasu.tv/live/QiEFuDao-lv11.m3u8
企鹅辅导高三,https://live-edu.wasu.tv/live/QiEFuDao-lv12.m3u8
体育频道,#genre#
篮球纪录片点播TV,http://tx2play1.douyucdn.cn/live/522898rbvnLhujMe.flv?uuid=
篮球纪录片大全点播,http://tx2play1.douyucdn.cn/live/521126rKn7wGRKt2.flv?uuid=
赛车CDOFREE,http://keonline.shanghai.liveplay.qq.com/live/program/live/jsqc/1300000/mnf.m3u8
精品体育,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226328/1.m3u8
博斯网球,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
广州竞赛,http://aplay.gztv.com/sec/jingsai.m3u8
广东体育,http://116.199.5.58:8114/index.m3u8?3Fsv_chan_hls_se_idx=21&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
CCTV5体育,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/001/2000205103.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225491/index.m3u8
BTV6纪实,http://by4.nty.tv189.cn/tm-btvjishihd-4000k.m3u8
劲爆体育,http://liveplay-kk.rtxapp.com/live/program/live/jbtyhd/2300000/mnf.m3u8
NewTV-超级体育,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226158/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226157/1.m3u8
五星体育,http://liveplay-kk.rtxapp.com/live/program/live/ssty/2300000/mnf.m3u8
吉林篮球,http://stream1.jlntv.cn/lqpd/sd/live.m3u8
江苏体育,http://by4.nty.tv189.cn/tm-jstyhd-800k.m3u8
陕西体育休闲,http://stream.snrtv.com/sxtvs-7.m3u8
FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
蓝光影视,#genre#
蓝光影视1台,http://112.50.243.8/PLTV/88888888/224/3221226736/1.m3u8
蓝光影视2台,http://112.50.243.8/PLTV/88888888/224/3221225881/1.m3u8
蓝光影视3台,http://112.50.243.8/PLTV/88888888/224/3221226708/1.m3u8
蓝光影视4台,http://112.50.243.8/PLTV/88888888/224/3221226712/1.m3u8
蓝光影视5台,http://112.50.243.8/PLTV/88888888/224/3221225893/1.m3u8
蓝光影视6台,http://112.50.243.8/PLTV/88888888/224/3221226692/1.m3u8
蓝光影视7台,http://112.50.243.8/PLTV/88888888/224/3221226754/1.m3u8
蓝光影视8台,http://112.17.40.145/PLTV/88888888/224/3221226608/index.m3u8
蓝光影视9台,http://112.17.40.145/PLTV/88888888/224/3221226606/index.m3u8
蓝光影视10台,http://112.17.40.145/PLTV/88888888/224/3221226360/index.m3u8
蓝光影视11台,http://stream.guihet.com/migu/index.php?id=625542369
蓝光影视12台,http://39.134.52.206/wh7f454c46tw2522585283_-1736190513/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226752/index.m3u8?icpid=88888890&RTS=1575014274&from=1&ocs=2_39.134.52.206_80&hms_devid=835&vqe=3
蓝光动画13台,http://112.50.243.8/PLTV/88888888/224/3221226732/1.m3u8
蓝光动画14台,http://112.50.243.8/PLTV/88888888/224/3221226741/1.m3u8
蓝光动漫15台,http://112.50.243.8/PLTV/88888888/224/3221226743/1.m3u8
蓝光影视16台,http://ivi.bupt.edu.cn/hls/chchd.m3u8
NewTV-精品体育,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226328/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225922/1.m3u8
NewTV-精品记录,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225924/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226332/1.m3u8
NewTV-精品大剧,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
NewTV-惊悚悬疑,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225921/1.m3u8
NewTV-金牌综艺,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225920/1.m3u8
NewTV-健康有约,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226327/1.m3u8
NewTV-家庭剧场,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226330/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226290/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225918/1.m3u8
NewTV-古装剧场,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226300/1.m3u8
NewTV-动作电影,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226329/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226288/1.m3u8
NewTV-潮妈辣婆,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226286/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225957/1.m3u8
NewTV-超级综艺,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226127/1.m3u8
NewTV-超级体育,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226158/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226157/1.m3u8
NewTV-超级电视剧,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226253/1.m3u8
NewTV-搏击,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226171/1.m3u8
NewTV-爱情喜剧,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226299/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225913/1.m3u8#http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
NewTV-明星大片,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226295/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8
NewTV-东北热剧,http://39.135.135.35:80/wh7f454c46tw1751026922_1159821621/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8?icpid=88888888&RTS=1554599523&from=1&hms_devid=691
NewTV-完美游戏,http://183.207.249.16/PLTV/3/224/3221225539/index.m3u8NewTV-电竟#http://111.40.205.76/PLTV/88888888/224/3221225675/index.m3u8
NewTV-欢乐剧场,http://39.135.135.81:80/wh7f454c46tw1744894462_1818032107/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8?icpid=88888888&RTS=1554599517&from=1&hms_devid=690
NewTV-超级电影,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226133/1.m3u8
CHC电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
CHC家庭影院,rtmp://ivi.bupt.edu.cn:1935/livetv/chctv
周末影院,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_fengxiaogang_1080p_t10/c16_lb_fengxiaogang_1080p_t10.m3u8
峨眉电影蓝光,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
欢笑剧场蓝光,http://112.50.243.8/PLTV/88888888/224/3221226729/1.m3u8
北京纪实蓝光,http://112.50.243.8/PLTV/88888888/224/3221225944/1.m3u8
纪实频道蓝光,http://112.50.243.8/PLTV/88888888/224/3221225946/1.m3u8
